state,county,year,days_with_aqi,good_days,moderate_days,usg_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,aqi_90th_percentile,median_aqi,days_co_main_pollutant,days_no2_main_pollutant,days_ozone_main_pollutant,days_pm25_main_pollutant,days_pm10_main_pollutant,bad_aqi_days,bad_aqi_day_pct,pct_days_co_main_pollutant,pct_days_no2_main_pollutant,pct_days_ozone_main_pollutant,pct_days_pm25_main_pollutant,pct_days_pm10_main_pollutant,geo_id,acs_name,population_25_plus,pct_high_school_or_higher,pct_bachelors_or_higher,population_16_plus,unemployment_rate,median_household_income,mean_household_income,per_capita_income,poverty_rate_all_people,pct_no_health_insurance,income_quartile,lower_income_group
California,Calaveras,2023,365,292,72,1,0,0,0,101,56,40,0,0,277,87,1,1,0.273972602739726,0.0,0.0,75.89041095890411,23.835616438356162,0.273972602739726,0500000US06009,"Calaveras County, California",35917,92.4,23.9,39565,4.5,78647,107069,43512,13.0,5.0,Q2,True
California,Calaveras,2024,359,261,90,8,0,0,0,129,74,42,0,0,273,86,0,8,2.2284122562674096,0.0,0.0,76.04456824512535,23.955431754874652,0.0,0500000US06009,"Calaveras County, California",35917,92.4,23.9,39565,4.5,78647,107069,43512,13.0,5.0,Q2,True
California,Colusa,2020,366,218,116,9,22,1,0,221,87,42,0,0,148,190,28,32,8.743169398907105,0.0,0.0,40.43715846994536,51.91256830601093,7.650273224043716,0500000US06011,"Colusa County, California",14077,74.2,16.4,16745,9.8,75672,95368,33882,11.4,8.0,Q2,True
California,Colusa,2021,365,111,238,9,6,1,0,225,76,55,0,0,60,291,14,16,4.383561643835616,0.0,0.0,16.43835616438356,79.72602739726027,3.8356164383561646,0500000US06011,"Colusa County, California",14077,74.2,16.4,16745,9.8,75672,95368,33882,11.4,8.0,Q2,True
California,Colusa,2022,363,240,122,1,0,0,0,105,59,44,0,0,185,171,7,1,0.27548209366391185,0.0,0.0,50.964187327823694,47.107438016528924,1.9283746556473829,0500000US06011,"Colusa County, California",14077,74.2,16.4,16745,9.8,75672,95368,33882,11.4,8.0,Q2,True
California,Colusa,2023,365,115,250,0,0,0,0,98,66,55,0,0,97,268,0,0,0.0,0.0,0.0,26.575342465753426,73.42465753424658,0.0,0500000US06011,"Colusa County, California",14077,74.2,16.4,16745,9.8,75672,95368,33882,11.4,8.0,Q2,True
California,Colusa,2024,366,68,298,0,0,0,0,90,63,54,0,0,31,331,4,0,0.0,0.0,0.0,8.469945355191257,90.43715846994536,1.092896174863388,0500000US06011,"Colusa County, California",14077,74.2,16.4,16745,9.8,75672,95368,33882,11.4,8.0,Q2,True
California,Contra Costa,2020,366,192,156,7,10,1,0,221,75,49,0,2,107,257,0,18,4.918032786885246,0.0,0.546448087431694,29.23497267759563,70.21857923497268,0.0,0500000US06013,"Contra Costa County, California",816152,89.6,45.2,941806,6.5,127229,174872,62927,8.4,4.6,Q4 highest income,False
California,Contra Costa,2021,365,195,165,5,0,0,0,150,69,47,0,0,139,226,0,5,1.36986301369863,0.0,0.0,38.082191780821915,61.917808219178085,0.0,0500000US06013,"Contra Costa County, California",816152,89.6,45.2,941806,6.5,127229,174872,62927,8.4,4.6,Q4 highest income,False
California,Contra Costa,2022,365,175,188,2,0,0,0,129,67,51,0,0,102,263,0,2,0.547945205479452,0.0,0.0,27.945205479452056,72.05479452054794,0.0,0500000US06013,"Contra Costa County, California",816152,89.6,45.2,941806,6.5,127229,174872,62927,8.4,4.6,Q4 highest income,False
