socio_variable,air_variable,n,pearson_r,pearson_p,spearman_r,spearman_p,year
pct_no_health_insurance,bad_aqi_day_pct,53,0.3950429198635753,0.00341731357620382,0.42725162453257426,0.0014190472106084216,2021
per_capita_income,bad_aqi_day_pct,53,-0.3918502990647249,0.0037113015681735032,-0.4768715354409821,0.0003061283625145162,2021
per_capita_income,aqi_90th_percentile,53,-0.38083716970189957,0.0049037145866381825,-0.3913026655310957,0.003763910450949055,2021
pct_no_health_insurance,aqi_90th_percentile,53,0.378822463234485,0.005154949089256152,0.35874457629596374,0.00834299944121502,2021
mean_household_income,aqi_90th_percentile,53,-0.36130337674253116,0.00785930132209274,-0.3182863949526129,0.020196923608473756,2021
median_household_income,aqi_90th_percentile,53,-0.3558678246167463,0.008917454183355975,-0.3228045288226627,0.018397924209493603,2021
pct_bachelors_or_higher,bad_aqi_day_pct,53,-0.35372352297510773,0.009367648942290526,-0.40371662788792534,0.0027198039028670474,2021
pct_no_health_insurance,max_aqi,53,0.3468249026623916,0.01095200400860021,0.3854549737377769,0.004368012564056363,2021
mean_household_income,bad_aqi_day_pct,53,-0.3376239779058291,0.013420845222977552,-0.4147289479770516,0.0020176227630442057,2021
pct_bachelors_or_higher,aqi_90th_percentile,53,-0.33236575751740555,0.015035330672499115,-0.3161738442671948,0.02108787588753521,2021
per_capita_income,median_aqi,53,-0.32656036247377024,0.017007805824498786,-0.3507428781632411,0.01002603305621686,2021
median_household_income,bad_aqi_day_pct,53,-0.3235889302744109,0.01809989024309963,-0.40955039902172413,0.002324716170747137,2021
poverty_rate_all_people,bad_aqi_day_pct,53,0.3084479538911776,0.02463430765837642,0.38195165632636174,0.004769406290822236,2021
pct_no_health_insurance,median_aqi,53,0.3044599712785554,0.02665295439129424,0.3091339011531533,0.024300388197277686,2021
poverty_rate_all_people,aqi_90th_percentile,53,0.3027588306135592,0.02755526626789068,0.30977792767761936,0.02399034807067047,2021
pct_high_school_or_higher,bad_aqi_day_pct,53,-0.2789082094502584,0.04313588177415857,-0.14190703627936238,0.31077111199539026,2021
pct_no_health_insurance,pct_days_ozone_main_pollutant,53,-0.26169582124527535,0.058373998431437556,-0.22922805627326173,0.09872247162905429,2021
unemployment_rate,median_aqi,53,0.25616840772896926,0.06409885834437108,0.30886244879889285,0.0244320734248796,2021
pct_bachelors_or_higher,median_aqi,53,-0.25404600161833474,0.06641311858018001,-0.2577098375725684,0.06245894057047655,2021
unemployment_rate,bad_aqi_day_pct,53,0.24588464749412878,0.07594077179888328,0.3140297935219646,0.022025853467755933,2021
unemployment_rate,aqi_90th_percentile,53,0.2157938363781306,0.12068867348790896,0.23994994787258056,0.08352490354338091,2021
poverty_rate_all_people,median_aqi,53,0.19962031281368178,0.15183687919209854,0.2288425783625166,0.0993062766878703,2021
mean_household_income,median_aqi,53,-0.19536463741145554,0.16094160261490673,-0.13714894131170235,0.3274374768515114,2021
pct_high_school_or_higher,pct_days_ozone_main_pollutant,53,0.1932669769348279,0.1655738696195862,0.2571238442498305,0.0630783628837061,2021
pct_no_health_insurance,pct_days_pm25_main_pollutant,53,0.18701437982674568,0.17995779589666194,0.13939273164247282,0.31950917672665813,2021
mean_household_income,max_aqi,53,-0.1840085127741969,0.18718457558091306,-0.4415458764846875,0.0009338839647066414,2021
median_household_income,median_aqi,53,-0.161645321321202,0.24753450931260684,-0.12193259320266416,0.3844275172562257,2021
pct_high_school_or_higher,aqi_90th_percentile,53,-0.15368860822645491,0.27188426465549476,-0.08069397607316535,0.5657033370876501,2021
pct_bachelors_or_higher,max_aqi,53,-0.14705555548595403,0.29336046614511785,-0.404040404122524,0.002696409193111195,2021
median_household_income,max_aqi,53,-0.14398838581681864,0.30365461076632094,-0.4231598916726139,0.0015943254218439543,2021
pct_high_school_or_higher,pct_days_pm25_main_pollutant,53,-0.10865196970838788,0.4386744602221664,-0.1386166566967233,0.32223749043915173,2021
per_capita_income,max_aqi,53,-0.10236087408245723,0.4657888062837232,-0.4198133198756795,0.001751790308522703,2021
unemployment_rate,max_aqi,53,-0.09801471084164352,0.4850353071461803,0.26430831537232385,0.05581546542409489,2021
unemployment_rate,pct_days_ozone_main_pollutant,53,-0.08928959705183925,0.5249004792902787,-0.21227601916435276,0.12701173784418318,2021
